ISSN,Journal_Name,Publisher,JIF,Quartile
0001-0782,COMMUNICATIONS OF THE ACM,ASSOC COMPUTING M,12.2,Q1
0001-1452,AIAA JOURNAL,AMER INST AERONAUT,2.8,Q1
0001-1541,AICHE JOURNAL,WILEY,4,Q2
0001-2092,AORN JOURNAL,WILEY,1.1,Q3
0001-2343,Archiv fur Rechts- und Sozialphilosophie,FRANZ STEINER VERLA,0.1,
0001-2998,SEMINARS IN NUCLEAR MEDICINE,W B SAUNDERS CO-ELS,5.9,Q1
0001-3072,Abacus-A Journal of Accounting Finance and Bu,WILEY,2.3,Q2
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,ACAD BRASILEIRA DE C,1.1,Q3
0001-4079,BULLETIN DE L ACADEMIE NATIONALE DE MED,ELSEVIER MASSON SAS,0.2,Q4
0001-4338,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSI,MAIK NAUKA/INTERPE,0.6,Q4
0001-4346,MATHEMATICAL NOTES,MAIK NAUKA/INTERPE,0.6,Q3
0001-4575,ACCIDENT ANALYSIS AND PREVENTION,PERGAMON-ELSEVIER,6.2,Q1
0001-4788,ACCOUNTING AND BUSINESS RESEARCH,ROUTLEDGE JOURNALS,1.4,Q3
0001-4826,ACCOUNTING REVIEW,AMER ACCOUNTING AS,4.4,Q1
0001-4842,ACCOUNTS OF CHEMICAL RESEARCH,AMER CHEMICAL SOC,17.7,Q1
0001-494X,ACME-Annali della Facolta di Studi Umanistici d,UNIV STUDI MILANO,0.1,
0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AM,ACOUSTICAL SOC AME,2.3,Q1
0001-5113,ACTA ADRIATICA,INST OCEANOGRAFIJU,0.6,Q4
0001-5164,ACTA ANAESTHESIOLOGICA BELGICA,ACTA MEDICAL BELGIC,0.3,Q4
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA,WILEY,2,Q2
0001-5237,ACTA ASTRONOMICA,COPERNICUS FOUNDAT,0.6,Q4
0001-5296,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTA,"POLSKA AKAD NAUK, P",0.4,Q4
0001-5342,ACTA BIOTHEORETICA,SPRINGER,1.5,Q4
0001-5385,ACTA CARDIOLOGICA,TAYLOR & FRANCIS LTD,2.5,Q2
0001-5415,Acta Chirurgiae Orthopaedicae et Traumatolog,GALEN SRO,0.4,Q4
0001-5547,ACTA CYTOLOGICA,KARGER,1.7,Q3
0001-5555,ACTA DERMATO-VENEREOLOGICA,ACTA DERMATO-VENE,3.7,Q1
0001-5652,HUMAN HEREDITY,KARGER,1.5,Q4
0001-5709,ACTA GEOLOGICA POLONICA,"POLSKA AKAD NAUK, P",0.9,Q3
